C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        62      1.01084      1.00324      0.09446	  0.59645      0.58980      0.02247
        63      1.01587      1.00879      0.15766	  0.62343      0.61716      0.04005
        64      1.02006      1.01345      0.21775	  0.64762      0.64171      0.06239
        65      1.02347      1.01727      0.25865	  0.66938      0.66379      0.08666
        66      1.02644      1.02059      0.29236	  0.68906      0.68376      0.11150
        67      1.02890      1.02337      0.32166	  0.70690      0.70185      0.13626
        68      1.03099      1.02574      0.34784	  0.72313      0.71832      0.16059
        69      1.03289      1.02790      0.37160	  0.73797      0.73337      0.18423
        70      1.03449      1.02974      0.39341	  0.75157      0.74716      0.20708
        71      1.03607      1.03152      0.41361	  0.76418      0.75995      0.22908
        72      1.03734      1.03298      0.43236	  0.77579      0.77173      0.25022
        73      1.03848      1.03429      0.44985	  0.78650      0.78259      0.27044
        74      1.03963      1.03562      0.46632	  0.79648      0.79272      0.28983
        75      1.04073      1.03687      0.48183	  0.80585      0.80222      0.30840
        76      1.04156      1.03784      0.49643	  0.81448      0.81097      0.32616
        77      1.04234      1.03876      0.51020	  0.82259      0.81920      0.34316
        78      1.04320      1.03974      0.52333	  0.83018      0.82691      0.35943
        79      1.04390      1.04055      0.53575	  0.83734      0.83415      0.37500
        80      1.04461      1.04137      0.54761	  0.84407      0.84098      0.38996
        81      1.04514      1.04199      0.55878	  0.85040      0.84740      0.40424
        82      1.04577      1.04272      0.56959	  0.85636      0.85345      0.41797
        83      1.04638      1.04342      0.57985	  0.86208      0.85925      0.43115
        84      1.04675      1.04387      0.58957	  0.86735      0.86459      0.44375
        85      1.04731      1.04450      0.59899	  0.87252      0.86984      0.45594
        86      1.04778      1.04505      0.60803	  0.87730      0.87468      0.46762
        87      1.04812      1.04546      0.61658	  0.88187      0.87931      0.47882
        88      1.04859      1.04600      0.62496	  0.88624      0.88375      0.48968
        89      1.04896      1.04644      0.63289	  0.89037      0.88794      0.50005
        90      1.04947      1.04699      0.64063	  0.89449      0.89211      0.51017
        91      1.04967      1.04726      0.64794	  0.89814      0.89582      0.51976
        92      1.04997      1.04761      0.65504	  0.90180      0.89953      0.52915
        93      1.05046      1.04817      0.66203	  0.90531      0.90309      0.53820
        94      1.05079      1.04853      0.66860	  0.90871      0.90653      0.54690
        95      1.05096      1.04876      0.67497	  0.91186      0.90973      0.55536
        96      1.05117      1.04902      0.68110	  0.91489      0.91281      0.56348
        97      1.05134      1.04923      0.68699	  0.91778      0.91574      0.57133
        98      1.05166      1.04959      0.69281	  0.92062      0.91861      0.57897
        99      1.05190      1.04988      0.69844	  0.92327      0.92130      0.58635
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00022      0.00000      0.00000	  0.00013      0.00000      0.00000
        14      0.00383      0.00000      0.00000	  0.00197      0.00000      0.00000
        15      0.01274      0.00018      0.00000	  0.00596      0.00008      0.00000
        16      0.02718      0.00849      0.00000	  0.01167      0.00334      0.00000
        17      0.04731      0.02428      0.00000	  0.01868      0.00881      0.00000
        18      0.07299      0.04640      0.00000	  0.02668      0.01560      0.00000
        19      0.10386      0.07431      0.00000	  0.03544      0.02336      0.00000
        20      0.13955      0.10737      0.00000	  0.04487      0.03186      0.00000
        21      0.17956      0.14511      0.00000	  0.05488      0.04104      0.00000
        22      0.22346      0.18698      0.00000	  0.06545      0.05082      0.00000
        23      0.27084      0.23246      0.00000	  0.07659      0.06119      0.00000
        24      0.32123      0.28121      0.00000	  0.08828      0.07216      0.00000
        25      0.37431      0.33274      0.00000	  0.10054      0.08372      0.00000
        26      0.42971      0.38672      0.00000	  0.11339      0.09587      0.00000
        27      0.48718      0.44284      0.00000	  0.12679      0.10862      0.00000
        28      0.54645      0.50089      0.00000	  0.14076      0.12196      0.00000
        29      0.60728      0.56060      0.00000	  0.15530      0.13589      0.00000
        30      0.66951      0.62178      0.00000	  0.17040      0.15041      0.00000
        31      0.73298      0.68426      0.00000	  0.18603      0.16547      0.00000
        32      0.79737      0.74774      0.00000	  0.20217      0.18107      0.00000
        33      0.86275      0.81228      0.00000	  0.21889      0.19726      0.00000
        34      0.92901      0.87768      0.00000	  0.23612      0.21396      0.00000
        35      0.99585      0.94366      0.00000	  0.25382      0.23115      0.00000
        36      1.06334      1.01049      0.00000	  0.27200      0.24888      0.00000
        37      1.13131      1.07774      0.00000	  0.29064      0.26704      0.00000
        38      1.19986      1.14555      0.00000	  0.30977      0.28570      0.00000
        39      1.26880      1.21388      0.00000	  0.32934      0.30484      0.00000
        40      1.33804      1.28238      0.00000	  0.34932      0.32437      0.00000
        41      1.40764      1.35150      0.00000	  0.36971      0.34437      0.00000
        42      1.47754      1.42074      0.00000	  0.39052      0.36474      0.00000
        43      1.54770      1.49040      0.00000	  0.41171      0.38556      0.00000
        44      1.61807      1.56010      0.00000	  0.43327      0.40670      0.00000
        45      1.68866      1.63033      0.00000	  0.45522      0.42832      0.00000
        46      1.75933      1.70039      0.00000	  0.47749      0.45020      0.00000
        47      1.83013      1.77087      0.00000	  0.50009      0.47249      0.00000
        48      1.90116      1.84136      0.00000	  0.52302      0.49506      0.00000
        49      1.97222      1.91197      0.00000	  0.54623      0.51794      0.00000
        50      2.04345      1.98284      0.00000	  0.56981      0.54121      0.00000
        51      2.11472      2.05360      0.00000	  0.59364      0.56471      0.00000
        52      2.18611      2.12468      0.00000	  0.61777      0.58855      0.00000
        53      2.25758      2.19575      0.00000	  0.64219      0.61267      0.00000
        54      2.32906      2.26677      0.00000	  0.66683      0.63700      0.00000
        55      2.40060      2.33796      0.00000	  0.69173      0.66162      0.00000
        56      2.47214      2.40922      0.00000	  0.71687      0.68650      0.00000
        57      2.54373      2.48034      0.00000	  0.74225      0.71157      0.00000
        58      2.61532      2.55148      0.00000	  0.76784      0.73686      0.00000
        59      2.68696      2.62299      0.00000	  0.79365      0.76247      0.00000
        60      2.75864      2.69435      0.00000	  0.81969      0.78825      0.00000
        61      2.83025      2.76557      0.00000	  0.84588      0.81417      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      2.83025      2.76557      0.00000	  0.84588      0.81417      0.00000
        63      3.18890      3.12262      0.00000	  0.97987      0.94693      0.00000
        64      3.54732      3.47965      0.01891	  1.11796      1.08392      0.00076
        65      3.90557      3.83678      0.07226	  1.25955      1.22456      0.00523
        66      4.26333      4.19364      0.14521	  1.40411      1.36826      0.01455
        67      4.62074      4.55017      0.23352	  1.55125      1.51464      0.02910
        68      4.97770      4.90596      0.33475	  1.70062      1.66318      0.04897
        69      5.33413      5.26187      0.44734	  1.85192      1.81388      0.07406
        70      5.69008      5.61672      0.57001	  2.00490      1.96613      0.10421
        71      6.04541      5.97182      0.70184	  2.15926      2.12005      0.13917
        72      6.40044      6.32585      0.84211	  2.31498      2.27510      0.17872
        73      6.75497      6.68015      0.98997	  2.47188      2.43160      0.22262
        74      7.10888      7.03345      1.14490	  2.62976      2.58896      0.27065
        75      7.46237      7.38599      1.30632	  2.78848      2.74713      0.32253
        76      7.81555      7.73918      1.47386	  2.94814      2.90649      0.37808
        77      8.16831      8.09149      1.64705	  3.10849      3.06643      0.43707
        78      8.52051      8.44298      1.82551	  3.26952      3.22699      0.49933
        79      8.87247      8.79404      2.00905	  3.43115      3.38812      0.56466
        80      9.22397      9.14586      2.19698	  3.59331      3.55011      0.63288
        81      9.57522      9.49676      2.38964	  3.75598      3.71245      0.70390
        82      9.92596      9.84693      2.58602	  3.91913      3.87519      0.77748
        83     10.27635     10.19663      2.78649	  4.08261      4.03828      0.85352
        84     10.62661     10.54614      2.99067	  4.24662      4.20187      0.93196
        85     10.97632     10.89644      3.19820	  4.41079      4.36601      1.01253
        86     11.32578     11.24567      3.40897	  4.57545      4.53038      1.09526
        87     11.67506     11.59467      3.62308	  4.74036      4.69504      1.18002
        88     12.02383     11.94298      3.83997	  4.90553      4.85988      1.26664
        89     12.37245     12.29100      4.05967	  5.07101      5.02501      1.35514
        90     12.72059     12.63847      4.28203	  5.23651      5.19015      1.44529
        91     13.06873     12.98597      4.50713	  5.40256      5.35586      1.53723
        92     13.41654     13.33453      4.73448	  5.56863      5.52198      1.63065
        93     13.76386     13.68194      4.96410	  5.73488      5.68809      1.72562
        94     14.11108     14.02896      5.19619	  5.90128      5.85426      1.82206
        95     14.45822     14.37580      5.43028	  6.06799      6.02073      1.91985
        96     14.80505     14.72226      5.66638	  6.23483      6.18728      2.01903
        97     15.15167     15.06851      5.90456	  6.40182      6.35406      2.11953
        98     15.49790     15.41431      6.14433	  6.56892      6.52090      2.22118
        99     15.84399     15.75973      6.38598	  6.73621      6.68785      2.32405
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100     15.84399     15.75973      6.38598	  6.73621      6.68785      2.32405
       101     16.53530     16.44998      6.87441	  7.07082      7.02191      2.53307
       102     17.22606     17.14162      7.36930	  7.40619      7.35724      2.74648
       103     17.91587     17.83156      7.87006	  7.74178      7.69261      2.96369
       104     18.60493     18.52030      8.37642	  8.07789      8.02837      3.18471
       105     19.29331     19.20812      8.88745	  8.41425      8.36432      3.40910
       106     19.98081     19.89479      9.40320	  8.75078      8.70038      3.63655
       107     20.66782     20.58112      9.92394	  9.08766      9.03684      3.86719
       108     21.35407     21.26644     10.44845	  9.42492      9.37359      4.10067
       109     22.03949     21.95097     10.97669	  9.76202      9.71027      4.33657
       110     22.72455     22.63494     11.50891	 10.09969     10.04743      4.57527
       111     23.40883     23.32113     12.04442	 10.43717     10.38529      4.81613
       112     24.09257     24.00521     12.58325	 10.77510     10.72309      5.05940
       113     24.77590     24.68857     13.12514	 11.11314     11.06090      5.30475
       114     25.45847     25.37100     13.66945	 11.45139     11.39893      5.55214
       115     26.14062     26.05286     14.21684	 11.78963     11.73689      5.80140
       116     26.82206     26.73395     14.76684	 12.12806     12.07500      6.05256
       117     27.50327     27.41470     15.31937	 12.46668     12.41336      6.30557
       118     28.18372     28.09480     15.87390	 12.80514     12.75154      6.55995
       119     28.86351     28.77406     16.43032	 13.14390     13.08998      6.81613
       120     29.54313     29.45300     16.98964	 13.48250     13.42822      7.07376
       121     30.22244     30.13161     17.55034	 13.82148     13.76685      7.33283
       122     30.90121     30.80981     18.11322	 14.16063     14.10569      7.59341
       123     31.57947     31.48739     18.67807	 14.49961     14.44432      7.85531
       124     32.25708     32.16417     19.24414	 14.83862     14.78294      8.11840
       125     32.93449     32.84081     19.81218	 15.17799     15.12196      8.38289
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     32.93449     32.84081     19.81218	 15.17799     15.12196      8.38289
       127     36.31497     36.22292     22.67454	 16.87445     16.81819      9.72174
       128     39.68625     39.59509     25.56902	 18.57232     18.51557     11.08568
       129     43.04822     42.95652     28.48879	 20.27042     20.21283     12.47016
       130     46.40236     46.30917     31.43017	 21.96955     21.91086     13.87302
       131     49.74900     49.65438     34.38980	 23.66898     23.60939     15.29137
       132     53.08846     52.99167     37.36439	 25.36858     25.30782     16.72330
       133     56.42105     56.32199     40.35208	 27.06842     27.00658     18.16719
       134     59.74733     59.64579     43.35077	 28.76846     28.70547     19.62219
       135     63.06709     62.96304     46.35820	 30.46811     30.40422     21.08638
       136     66.38144     66.27427     49.37410	 32.16825     32.10307     22.55982
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     66.38144     66.27427     49.37410	 32.16825     32.10307     22.55982
       138    131.69127    131.60224    110.42221	 66.12751     66.06105     53.09018
       139    195.59481    195.50508    171.57504	 99.97004     99.89807     84.54565
       140    258.39468    258.30137    232.27365	133.66688    133.58998    116.33956
       141    320.26280    320.16757    292.41784	167.22490    167.14536    148.28760
       142    381.25917    381.16197    351.93003	200.60845    200.52639    180.25992
       143    441.49246    441.39122    410.86639	233.85960    233.77346    212.25866
       144    500.91816    500.81644    469.13564	266.88513    266.79810    244.15283
       145    559.70101    559.59686    526.86990	299.80932    299.71973    276.03280
       146    617.85929    617.75887    584.07163	332.61800    332.53145    307.88556
       147    675.35184    675.24699    640.67641	365.24561    365.15481    339.62269
       148    732.20331    732.09990    696.71458	397.68955    397.59978    371.24127
       149    788.43877    788.33165    752.19956	429.95584    429.86250    402.73912
       150    844.08699    843.97620    807.14488	462.05387    461.95700    434.11200
       151    899.16894    899.06639    861.55309	493.98710    493.89759    465.35001
       152    953.70614    953.60100    915.45329	525.76409    525.67206    496.46769
       153   1007.76668   1007.65895    968.90389	557.43585    557.34130    527.49950
       154   1061.44049   1061.33022   1022.00058	589.08035    588.98331    558.53324
       155   1114.63779   1114.52500   1074.66077	620.59612    620.49664    589.47466
       156   1167.36028   1167.25636   1126.88215	651.97157    651.88019    620.31827
       157   1219.61838   1219.51271   1178.67491	683.20899    683.11590    651.05716
       158   1271.41386   1271.30648   1230.01021	714.30093    714.20611    681.66245
       159   1322.76553   1322.65644   1280.93181	745.25312    745.15663    712.15013
       160   1373.67901   1373.56823   1331.41559	776.06469    775.96653    742.50856
       161   1424.16753   1424.05507   1381.54655	806.74005    806.64025    772.78359
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1   1424.16753   1424.05507   1381.54655	   806.74005    806.64025    772.78359
         2   1670.55661   1670.45514   1626.29043	   958.12577    958.03595    922.35796
         3   1907.67827   1907.57287   1862.06115	  1106.41042   1106.31660   1069.13418
         4   2136.46636   2136.35729   2089.77140	  1251.82072   1251.72315   1213.29633
         5   2357.68929   2357.57670   2310.15543	  1394.54706   1394.44593   1355.01271
         6   2571.98983   2571.87387   2523.78565	  1534.74615   1534.64157   1494.37718
         7   2779.91749   2779.79824   2731.09658	  1672.55361   1672.44570   1631.42466
         8   2981.94906   2981.84967   2932.71378	  1808.08991   1808.00087   1766.38878
         9   3178.50357   3178.40341   3128.78539	  1941.46477   1941.37485   1899.14787
        10   3369.95110   3369.85022   3319.84900	  2072.77622   2072.68548   2029.94467
        11   3556.62021   3556.51871   3506.14523	  2202.11516   2202.02368   2158.78607
        12   3738.80863   3738.70655   3688.06738	  2329.56652   2329.47435   2285.85025
        13   3916.78102   3916.67840   3865.85429	  2455.20635   2455.11356   2411.17061
        14   4090.77909   4090.67600   4039.68393	  2579.10720   2579.01382   2534.78912
        15   4261.02283   4260.91929   4209.71755	  2701.33680   2701.24289   2656.69816
        16   4427.71107   4427.60712   4376.14313	  2821.95646   2821.86206   2776.97136
        17   4591.02821   4590.92388   4539.29684	  2941.02626   2940.93138   2895.77919
        18   4751.14134   4751.03666   4699.28332	  3058.59991   3058.50459   3013.13799
        19   4908.20576   4908.10075   4856.14869	  3174.72948   3174.63375   3128.98438
        20   5062.36470   5062.25938   5010.34569	  3289.46359   3289.36747   3243.66363
        21   5213.75111   5213.64550   5161.47786	  3402.84865   3402.75217   3356.71788
        22   5362.48708   5362.38120   5310.23740	  3514.92712   3514.83029   3468.73900
        23   5508.68763   5508.58150   5456.37680	  3625.74060   3625.64344   3579.39604
        24   5652.45851   5652.35215   5599.77330	  3735.32724   3735.22978   3688.58780
        25   5793.89954   5793.79295   5741.51411	  3843.72401   3843.62626   3797.16949
        26   5933.10326   5932.99647   5880.27445	  3950.96543   3950.86739   3903.93046
        27   6070.15881   6070.05182   6017.56777	  4057.08660   4056.98831   4010.20023
        28   6205.14639   6205.03921   6152.23819	  4162.11758   4162.01903   4114.87452
        29   6338.14295   6338.03559   6285.38111	  4266.08847   4265.98968   4218.91553
        30   6469.22126   6469.11373   6416.29701	  4369.02838   4368.92936   4321.63195
        31   6598.44903   6598.34134   6545.60089	  4470.96422   4470.86499   4423.60415
        32   6725.89063   6725.78279   6672.99158	  4571.92213   4571.82269   4524.44066
        33   6851.60828   6851.50029   6798.50976	  4671.92850   4671.82885   4624.20659
        34   6975.65838   6975.55026   6922.74036	  4771.00615   4770.90631   4723.38724
        35   7098.09553   7097.98728   7045.02333	  4869.17806   4869.07803   4821.36732
        36   7218.97140   7218.86304   7165.78431	  4966.46619   4966.36599   4918.51024
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   7218.97140   7218.86304   7165.78431	  4966.46619   4966.36599   4918.51024
        38   7456.23542   7456.12682   7403.15066	  5158.47685   5158.37633   5110.52110
        39   7687.81345   7687.70465   7634.73102	  5347.19573   5347.09490   5299.13611
        40   7914.03721   7913.92822   7861.04306	  5532.77111   5532.66999   5484.71775
        41   8135.20791   8135.09874   8081.96787	  5715.33990   5715.23852   5666.97260
        42   8351.59877   8351.48945   8298.22663	  5895.02753   5894.92591   5846.43687
        43   8563.46127   8563.35181   8510.49532	  6071.95216   6071.85031   6023.70165
        44   8771.02688   8770.91730   8717.81206	  6246.22460   6246.12254   6197.63693
        45   8974.50712   8974.39741   8920.99784	  6417.94685   6417.84458   6369.05738
        46   9174.09800   9173.98819   9120.71736	  6587.21521   6587.11276   6538.35844
        47   9369.98081   9369.87090   9316.88155	  6754.12005   6754.01744   6705.49460
        48   9562.32662   9562.21663   9509.34396	  6918.74923   6918.64646   6870.15459
        49   9751.28937   9751.17930   9698.14137	  7081.18044   7081.07751   7032.36413
        50   9937.01454   9936.90439   9883.86078	  7241.48907   7241.38601   7192.62460
        51  10119.63773  10119.52752  10066.45895	  7399.74620   7399.64300   7350.79073
        52  10299.28563  10299.17536  10246.05005	  7556.01904   7555.91573   7506.99408
        53  10476.07692  10475.96659  10423.06560	  7710.37127   7710.26784   7661.48308
        54  10650.12423  10650.01386  10596.75905	  7862.86463   7862.76109   7813.59600
        55  10821.53088  10821.42046  10768.75415	  8013.55519   8013.45155   7964.80507
        56  10990.39510  10990.28465  10937.54731	  8162.49741   8162.39366   8113.63417
        57  11156.80929  11156.69881  11103.95477	  8309.74287   8309.63904   8260.85672
        58  11320.86073  11320.75022  11267.87087	  8455.34084   8455.23693   8406.26051
        59  11482.63162  11482.52109  11429.74714	  8599.33812   8599.23413   8550.34754
        60  11642.19990  11642.08934  11589.40161	  8741.77952   8741.67546   8692.79897
        61  11799.63910  11799.52852  11747.05037	  8882.70763   8882.60350   8833.89249
        62  11955.01903  11954.90844  11902.28275	  9022.16326   9022.05907   8973.17630
        63  12108.40803  12108.29744  12055.46774	  9160.18759   9160.08333   9110.99165
        64  12259.86710  12259.75649  12207.22566	  9296.81607   9296.71176   9247.89135
        65  12409.45595  12409.34534  12357.11994	  9432.08446   9431.98011   9383.38229
        66  12557.23135  12557.12074  12504.75269	  9566.02698   9565.92257   9517.14316
        67  12703.24737  12703.13675  12650.72796	  9698.67644   9698.57199   9649.71990
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  12703.24737  12703.13675  12650.72796	  9698.67644   9698.57199   9649.71990
        69  12990.20483  12990.09421  12937.98186	  9960.22092   9960.11638   9911.50993
        70  13270.71265  13270.60205  13218.44725	 10216.95524  10216.85063  10168.14415
        71  13545.12173  13545.01116  13492.38938	 10469.09900  10468.99433  10419.81670
        72  13813.75327  13813.64272  13761.44740	 10716.85573  10716.75102  10667.89583
        73  14076.90206  14076.79154  14024.86199	 10960.41451  10960.30976  10911.69025
        74  14334.84258  14334.73209  14283.02080	 11199.95439  11199.84961  11151.37422
        75  14587.82284  14587.71241  14536.46089	 11435.63724  11435.53244  11387.44920
        76  14836.07452  14835.96413  14783.93042	 11667.61653  11667.51170  11618.62898
        77  15079.81215  15079.70182  15027.71501	 11896.03574  11895.93090  11847.05796
        78  15319.23508  15319.12480  15267.52554	 12121.02950  12120.92466  12072.41166
        79  15554.52892  15554.41871  15503.50242	 12342.72437  12342.61952  12294.67209
        80  15785.86668  15785.75653  15734.39454	 12561.23926  12561.13442  12512.73166
        81  16013.41006  16013.29996  15962.18665	 12776.68633  12776.58151  12728.41269
        82  16237.31039  16237.20036  16186.26342	 12989.17141  12989.06659  12941.02153
        83  16457.70933  16457.59938  16406.49513	 13198.79428  13198.68948  13150.46968
        84  16674.74020  16674.63032  16623.35703	 13405.64960  13405.54483  13357.11495
        85  16888.52797  16888.41815  16837.54114	 13609.82673  13609.72198  13561.66794
        86  17099.19061  17099.08088  17048.59217	 13811.41067  13811.30595  13763.54288
        87  17306.83909  17306.72943  17255.81859	 14010.48184  14010.37715  13962.20285
        88  17511.57827  17511.46868  17460.75468	 14207.11678  14207.01212  14159.00171
        89  17713.51021  17713.40071  17662.70307	 14401.39128  14401.28666  14353.28212
        90  17912.72618  17912.61677  17862.68408	 14593.37212  14593.26753  14545.96739
        91  18109.31500  18109.20567  18059.76736	 14783.12532  14783.02078  14736.14615
        92  18303.36081  18303.25156  18252.89982	 14970.71380  14970.60931  14922.84606
        93  18494.94350  18494.83433  18444.81754	 15156.19763  15156.09317  15108.62586
