C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        48   9446.23690   9446.13171   9395.79737	  6825.47357   6825.37558   6779.43051
        49   9631.64118   9631.53588   9581.03823	  6984.83141   6984.73326   6938.57013
        50   9813.85243   9813.74705   9763.22544	  7142.09612   7141.99780   7095.76915
        51   9993.00637   9992.90090   9942.34370	  7297.33946   7297.24100   7250.91231
        52  10169.22785  10169.12230  10118.48847	  7450.62741   7450.52879   7404.11112
        53  10342.63656  10342.53093  10292.10432	  7602.02516   7601.92642   7555.62954
        54  10513.34319  10513.23750  10462.46327	  7751.59306   7751.49418   7704.82481
        55  10681.44965  10681.34390  10631.10597	  7899.38626   7899.28727   7853.08391
        56  10847.05396  10846.94816  10796.63014	  8045.45940   8045.36030   7999.03600
        57  11010.24827  11010.14240  10959.80055	  8189.86428   8189.76507   8143.40098
        58  11171.11851  11171.01260  11120.53872	  8332.64928   8332.54996   8285.99667
        59  11329.74613  11329.64018  11279.24198	  8473.86079   8473.76138   8427.26823
        60  11486.20924  11486.10324  11435.78714	  8613.54417   8613.44468   8566.95868
        61  11640.58124  11640.47520  11590.34427	  8751.74229   8751.64270   8705.29799
        62  11792.92977  11792.82369  11742.53642	  8888.49410   8888.39443   8841.87032
        63  11943.32024  11943.21414  11892.71522	  9023.83817   9023.73841   8976.99855
        64  12091.81492  12091.70880  12041.48079	  9157.81158   9157.71176   9111.21455
        65  12238.47402  12238.36787  12188.42329	  9290.45084   9290.35095   9244.05530
        66  12383.35339  12383.24721  12333.16879	  9421.78954   9421.68958   9375.22199
        67  12526.50540  12526.39920  12476.26719	  9551.85909   9551.75907   9505.20701
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  12526.50540  12526.39920  12476.26719	  9551.85909   9551.75907   9505.20701
        69  12807.82902  12807.72279  12757.84405	  9808.31459   9808.21445   9761.86502
        70  13082.82672  13082.72047  13032.78276	 10060.05413  10059.95387  10013.48920
        71  13351.84631  13351.74006  13301.33757	 10307.29605  10307.19571  10260.26345
        72  13615.20143  13615.09516  13565.08844	 10550.23804  10550.13761  10503.49784
        73  13873.18314  13873.07687  13823.29232	 10789.06692  10788.96642  10742.51879
        74  14126.06038  14125.95411  14076.36291	 11023.95773  11023.85718  10977.52967
        75  14374.07892  14373.97266  14324.80321	 11255.07136  11254.97074  11208.99731
        76  14617.46631  14617.36007  14567.43654	 11482.55835  11482.45769  11435.71551
        77  14856.43422  14856.32800  14806.43028	 11706.56051  11706.45979  11659.70699
        78  15091.17915  15091.07294  15041.52535	 11927.21064  11927.10989  11880.67883
        79  15321.88629  15321.78011  15272.87834	 12144.63586  12144.53508  12098.63277
        80  15548.72645  15548.62032  15499.27766	 12358.95381  12358.85301  12312.50177
        81  15771.85570  15771.74960  15722.62291	 12570.27183  12570.17101  12524.02061
        82  15991.42289  15991.31683  15942.34099	 12778.69410  12778.59327  12732.54204
        83  16207.56682  16207.46079  16158.31330	 12984.31829  12984.21744  12937.98747
        84  16420.41896  16420.31298  16370.99458	 13187.23794  13187.13709  13140.69651
        85  16630.10142  16629.99548  16581.03623	 13387.54019  13387.43933  13341.33678
        86  16836.73140  16836.62552  16788.03847	 13585.30986  13585.20901  13539.38194
        87  17040.41836  17040.31254  16991.30749	 13780.62649  13780.52564  13734.29239
        88  17241.26360  17241.15782  17192.32236	 13973.56359  13973.46275  13927.36664
        89  17439.36408  17439.25835  17390.42708	 14164.19236  14164.09153  14117.98910
        90  17634.81148  17634.70581  17586.59718	 14352.58048  14352.47967  14307.03810
        91  17827.69285  17827.58724  17779.93892	 14538.79266  14538.69186  14493.64209
        92  18018.09108  18017.98552  17969.45615	 14722.89097  14722.79019  14676.88600
        93  18206.08396  18205.97846  18157.75333	 14904.93383  14904.83306  14859.19434
