111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     4.725	1.01127	1.00604	0.99878	0.99358	0.98612	0.98014	0.97302	0.96642	0.95915
   12     4.775	1.01032	1.00539	0.99791	0.99286	0.98573	0.97943	0.97260	0.96562	0.95846
   12     4.825	1.00958	1.00490	0.99739	0.99209	0.98516	0.97870	0.97195	0.96485	0.95784
   12     4.875	1.00899	1.00416	0.99692	0.99131	0.98444	0.97825	0.97122	0.96403	0.95736
   12     4.925	1.00819	1.00338	0.99619	0.99067	0.98371	0.97762	0.97056	0.96341	0.95701
   12     4.975	1.00739	1.00281	0.99554	0.99003	0.98316	0.97660	0.97013	0.96257	0.95640
   12     5.025	1.00657	1.00208	0.99502	0.98920	0.98279	0.97538	0.96963	0.96194	0.95573
   12     5.075	1.00605	1.00103	0.99467	0.98801	0.98235	0.97455	0.96906	0.96156	0.95484
   12     5.125	1.00586	0.99994	0.99434	0.98711	0.98185	0.97427	0.96832	0.96131	0.95407
   12     5.175	1.00549	0.99911	0.99390	0.98664	0.98100	0.97397	0.96774	0.96083	0.95354
   12     5.225	1.00475	0.99863	0.99318	0.98617	0.98036	0.97341	0.96736	0.96011	0.95292
   12     5.275	1.00421	0.99817	0.99288	0.98547	0.98013	0.97272	0.96684	0.95947	0.95237
   12     5.325	1.00371	0.99741	0.99285	0.98476	0.97986	0.97212	0.96610	0.95900	0.95184
   12     5.375	1.00351	0.99651	0.99246	0.98421	0.97922	0.97179	0.96510	0.95855	0.95139
   12     5.425	1.00311	0.99601	0.99171	0.98396	0.97834	0.97142	0.96430	0.95804	0.95104
   12     5.475	1.00284	0.99566	0.99081	0.98369	0.97770	0.97095	0.96364	0.95745	0.95055
   12     5.525	1.00216	0.99510	0.99000	0.98325	0.97716	0.97034	0.96331	0.95701	0.94992
   12     5.575	1.00163	0.99467	0.98944	0.98276	0.97660	0.96993	0.96291	0.95653	0.94945
   12     5.625	1.00120	0.99399	0.98893	0.98238	0.97598	0.96958	0.96231	0.95608	0.94906
   12     5.675	1.00077	0.99342	0.98825	0.98210	0.97500	0.96923	0.96182	0.95554	0.94861
   12     5.725	1.00011	0.99319	0.98742	0.98187	0.97421	0.96878	0.96137	0.95499	0.94808
   12     5.775	0.99923	0.99282	0.98671	0.98142	0.97361	0.96832	0.96099	0.95453	0.94750
