C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        70      5.04200      4.98880      0.60281	  1.44977      1.42911      0.12202
        71      5.37122      5.31761      0.73482	  1.57692      1.55574      0.15622
        72      5.70064      5.64601      0.87406	  1.70596      1.68418      0.19409
        73      6.03006      5.97504      1.01980	  1.83675      1.81448      0.23551
        74      6.35935      6.30364      1.17162	  1.96902      1.94624      0.28026
        75      6.68867      6.63199      1.32903	  2.10264      2.07931      0.32818
        76      7.01809      6.96122      1.49180	  2.23764      2.21391      0.37916
        77      7.34749      7.29007      1.65953	  2.37377      2.34958      0.43301
        78      7.67671      7.61853      1.83186	  2.51098      2.48634      0.48961
        79      8.00606      7.94694      2.00871	  2.64922      2.62410      0.54883
        80      8.33527      8.27627      2.18946	  2.78836      2.76290      0.61049
        81      8.66460      8.60515      2.37446	  2.92840      2.90256      0.67458
        82      8.99370      8.93361      2.56280	  3.06922      3.04297      0.74087
        83      9.32279      9.26197      2.75487	  3.21076      3.18409      0.80932
        84      9.65203      9.59042      2.95032	  3.35312      3.32605      0.87989
        85      9.98100      9.91974      3.14882	  3.49598      3.46869      0.95233
        86     10.30996     10.24837      3.35029	  3.63957      3.61194      1.02668
        87     10.63903     10.57705      3.55486	  3.78374      3.75579      1.10285
        88     10.96781     10.90531      3.76202	  3.92841      3.90010      1.18068
        89     11.29672     11.23358      3.97180	  4.07367      4.04500      1.26023
        90     11.62539     11.56154      4.18407	  4.21924      4.19021      1.34126
        91     11.95424     11.88972      4.39892	  4.36555      4.33615      1.42395
        92     12.28296     12.21897      4.61589	  4.51210      4.48257      1.50796
        93     12.61145     12.54741      4.83501	  4.65910      4.62934      1.59342
        94     12.94007     12.87574      5.05648	  4.80650      4.77647      1.68024
        95     13.26870     13.20400      5.27987	  4.95432      4.92399      1.76830
        96     13.59725     13.53214      5.50517	  5.10253      5.07190      1.85768
        97     13.92580     13.86023      5.73249	  5.25110      5.22020      1.94829
        98     14.25412     14.18808      5.96135	  5.39994      5.36876      2.04000
        99     14.58243     14.51572      6.19201	  5.54915      5.51762      2.13285
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100     14.58243     14.51572      6.19201	  5.54915      5.51762      2.13285
       101     15.23882     15.17097      6.65833	  5.84822      5.81611      2.32166
       102     15.89524     15.82796      7.13098	  6.14867      6.11628      2.51469
       103     16.55132     16.48398      7.60939	  6.45000      6.41724      2.71138
       104     17.20718     17.13940      8.09332	  6.75243      6.71922      2.91176
       105     17.86293     17.79448      8.58192	  7.05569      7.02201      3.11545
       106     18.51828     18.44894      9.07523	  7.35963      7.32545      3.32214
       107     19.17369     19.10358      9.57352	  7.66453      7.62988      3.53200
       108     19.82870     19.75762     10.07561	  7.97015      7.93499      3.74466
       109     20.48343     20.41140     10.58153	  8.27622      8.24057      3.95980
       110     21.13817     21.06502     11.09146	  8.58322      8.54706      4.17773
       111     21.79256     21.72096     11.60473	  8.89053      8.85443      4.39784
       112     22.44677     22.37537     12.12141	  9.19863      9.16228      4.62040
       113     23.10093     23.02945     12.64124	  9.50725      9.47059      4.84511
       114     23.75467     23.68293     13.16360	  9.81637      9.77940      5.07188
       115     24.40836     24.33625     13.68916	 10.12593     10.08861      5.30062
       116     25.06165     24.98913     14.21739	 10.43596     10.39828      5.53128
       117     25.71505     25.64199     14.74826	 10.74656     10.70855      5.76387
       118     26.36801     26.29451     15.28127	 11.05731     11.01897      5.99794
       119     27.02061     26.94655     15.81627	 11.36867     11.32997      6.23386
       120     27.67337     27.59859     16.35426	 11.68027     11.64118      6.47133
       121     28.32598     28.25045     16.89378	 11.99236     11.95289      6.71032
       122     28.97826     28.90212     17.43558	 12.30485     12.26504      6.95089
       123     29.63045     29.55358     17.97948	 12.61760     12.57742      7.19290
       124     30.28225     30.20455     18.52469	 12.93065     12.89008      7.43615
       125     30.93392     30.85543     19.07199	 13.24413     13.20319      7.68088
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     30.93392     30.85543     19.07199	 13.24413     13.20319      7.68088
       127     34.18958     34.11216     21.83234	 14.81517     14.77349      8.92231
       128     37.44104     37.36408     24.62756	 16.39274     16.35023     10.19106
       129     40.68765     40.60989     27.45072	 17.97514     17.93156     11.48250
       130     43.93033     43.85097     30.29789	 19.56250     19.51772     12.79431
       131     47.16895     47.08794     33.16557	 21.15371     21.10786     14.12358
       132     50.40346     50.32023     36.05035	 22.74823     22.70115     15.46828
       133     53.63382     53.54825     38.95028	 24.34573     24.29749     16.82672
       134     56.86060     56.77250     41.86294	 25.94620     25.89678     18.19783
       135     60.08330     59.99256     44.78617	 27.54875     27.49829     19.57973
       136     63.30262     63.20878     47.71937	 29.15381     29.10213     20.97220
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     63.30262     63.20878     47.71937	 29.15381     29.10213     20.97220
       138    127.00292    126.92425    107.33909	 61.50583     61.44997     50.09275
       139    189.59197    189.51250    167.30576	 94.03721     93.97571     80.36957
       140    251.23398    251.15089    226.94988	126.57939    126.51290    111.11335
       141    312.03357    311.94800    286.11482	159.07191    159.00222    142.08537
       142    372.03501    371.94715    344.71032	191.46334    191.39077    173.14360
       143    431.33298    431.24120    402.77396	223.78169    223.70515    204.27155
       144    489.89306    489.80015    460.23091	255.94389    255.86581    235.35515
       145    547.80144    547.70598    517.14386	287.99573    287.91494    266.41604
       146    605.12380    605.03065    573.54894	319.97051    319.89132    297.47287
       147    661.82556    661.72841    629.39636	351.80912    351.72611    328.45384
       148    717.92158    717.82502    684.70764	383.49930    383.41648    359.34663
       149    773.43041    773.33046    739.48985	415.04053    414.95445    390.14275
       150    828.37607    828.27277    793.75505	446.43741    446.34811    420.83637
       151    882.77545    882.67832    847.50267	477.68944    477.60545    451.41475
       152    936.64747    936.54793    900.75691	508.80235    508.71600    481.88710
       153    990.02310    989.92118    953.54805	539.79046    539.70177    512.26031
       154   1042.97995   1042.87567   1005.94518	570.71892    570.62794    542.59692
       155   1095.49179   1095.38518   1057.91826	601.55017    601.45693    572.85528
       156   1147.55127   1147.45156   1109.47452	632.26359    632.17647    603.03037
       157   1199.16397   1199.06261   1160.62186	662.85666    662.76790    633.12255
       158   1250.33140   1250.22841   1211.32708	693.32129    693.23093    663.09807
       159   1301.06972   1300.96510   1261.63193	723.66094    723.56898    692.96945
       160   1351.38384   1351.27763   1311.51335	753.87387    753.78032    722.72582
       161   1401.28558   1401.17778   1361.04774	783.96311    783.86802    752.40456
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1   1401.28558   1401.17778   1361.04774	   783.96311    783.86802    752.40456
         2   1644.89746   1644.79787   1602.96236	   932.57436    932.48646    899.15083
         3   1879.43984   1879.33640   1836.09989	  1078.28099   1078.18915   1043.29380
         4   2105.79271   2105.68566   2061.32068	  1221.25696   1221.16144   1184.96636
         5   2324.69594   2324.58547   2279.32184	  1361.66396   1361.56497   1324.29925
         6   2536.77493   2536.66120   2490.66280	  1499.64144   1499.53913   1461.37357
         7   2742.56687   2742.44998   2695.78050	  1635.31286   1635.20735   1596.22691
         8   2942.54030   2942.44005   2895.27536	  1768.79047   1768.70060   1729.06751
         9   3137.10669   3137.00557   3089.31614	  1900.17654   1900.08568   1859.79458
        10   3326.63040   3326.52851   3278.40927	  2029.56316   2029.47141   1988.61939
        11   3511.43490   3511.33230   3462.80500	  2157.03650   2156.94394   2115.55894
        12   3691.81300   3691.70976   3642.87219	  2282.67638   2282.58307   2240.76664
        13   3868.02622   3867.92241   3818.85883	  2406.55580   2406.46180   2364.28516
        14   4040.31272   4040.20835   3990.93520	  2528.74373   2528.64910   2486.14873
        15   4208.88890   4208.78404   4159.27243	  2649.30440   2649.20917   2606.35978
        16   4373.95152   4373.84620   4324.04567	  2768.29698   2768.20121   2724.97898
        17   4535.68181   4535.57607   4485.58467	  2885.77848   2885.68219   2842.17040
        18   4694.24532   4694.13919   4643.99215	  3001.80103   3001.70428   2957.94855
        19   4849.79508   4849.68858   4799.32390	  3116.41449   3116.31728   3072.25966
        20   5002.47256   5002.36572   4951.99651	  3229.66564   3229.56801   3185.41289
        21   5152.40866   5152.30149   5101.67281	  3341.59887   3341.50085   3297.00957
        22   5299.72435   5299.61689   5248.97560	  3452.25555   3452.15715   3407.57229
        23   5444.53289   5444.42514   5393.70417	  3561.67549   3561.57673   3516.81680
        24   5586.93916   5586.83115   5535.73621	  3669.89603   3669.79693   3624.64254
        25   5727.04155   5726.93329   5676.08727	  3776.95266   3776.85325   3731.83285
        26   5864.93181   5864.82331   5813.55155	  3882.87911   3882.77940   3837.29614
        27   6000.69679   6000.58807   5949.50696	  3987.70826   3987.60824   3942.22638
        28   6134.41691   6134.30798   6082.91830	  4091.47029   4091.37000   4045.64012
        29   6266.16792   6266.05881   6214.78056	  4194.19419   4194.09364   4148.39887
