C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        55      0.61109      0.60436      0.01387	  0.74515      0.73682      0.01383
        56      0.61181      0.60518      0.01674	  0.75445      0.74623      0.01671
        57      0.61246      0.60593      0.01992	  0.76351      0.75538      0.01991
        58      0.61311      0.60667      0.02340	  0.77239      0.76436      0.02344
        59      0.61375      0.60740      0.02719	  0.78108      0.77314      0.02729
        60      0.61432      0.60806      0.03129	  0.78954      0.78169      0.03148
        61      0.61491      0.60873      0.03569	  0.79785      0.79009      0.03599
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      0.61491      0.60873      0.03569	  0.79785      0.79009      0.03599
        63      0.61747      0.61170      0.06222	  0.83665      0.82932      0.06352
        64      0.61960      0.61422      0.08928	  0.87147      0.86455      0.09811
        65      0.62147      0.61642      0.10932	  0.90291      0.89636      0.13525
        66      0.62307      0.61830      0.12670	  0.93134      0.92512      0.17290
        67      0.62447      0.61996      0.14237	  0.95717      0.95125      0.21009
        68      0.62570      0.62142      0.15680	  0.98074      0.97509      0.24634
        69      0.62674      0.62267      0.17016	  1.00224      0.99684      0.28131
        70      0.62770      0.62382      0.18267	  1.02201      1.01684      0.31490
        71      0.62864      0.62493      0.19444	  1.04034      1.03538      0.34705
        72      0.62950      0.62595      0.20557	  1.05730      1.05253      0.37782
        73      0.63020      0.62679      0.21604	  1.07289      1.06830      0.40709
        74      0.63087      0.62759      0.22600	  1.08741      1.08298      0.43503
        75      0.63158      0.62842      0.23549	  1.10107      1.09680      0.46170
        76      0.63212      0.62908      0.24450	  1.11368      1.10955      0.48708
        77      0.63269      0.62976      0.25311	  1.12557      1.12158      0.51133
        78      0.63314      0.63031      0.26131	  1.13660      1.13274      0.53443
        79      0.63364      0.63090      0.26917	  1.14708      1.14334      0.55650
        80      0.63408      0.63143      0.27671	  1.15693      1.15330      0.57762
        81      0.63453      0.63196      0.28390	  1.16623      1.16270      0.59776
        82      0.63486      0.63236      0.29083	  1.17492      1.17150      0.61705
        83      0.63526      0.63284      0.29748	  1.18327      1.17993      0.63553
        84      0.63556      0.63320      0.30383	  1.19101      1.18776      0.65316
        85      0.63599      0.63370      0.31003	  1.19863      1.19547      0.67021
        86      0.63619      0.63396      0.31592	  1.20558      1.20250      0.68647
        87      0.63652      0.63434      0.32161	  1.21233      1.20932      0.70208
        88      0.63674      0.63462      0.32712	  1.21869      1.21576      0.71713
        89      0.63696      0.63489      0.33237	  1.22470      1.22184      0.73149
        90      0.63735      0.63533      0.33757	  1.23077      1.22798      0.74552
        91      0.63746      0.63549      0.34245	  1.23611      1.23338      0.75876
        92      0.63773      0.63581      0.34727	  1.24156      1.23889      0.77176
        93      0.63795      0.63607      0.35190	  1.24662      1.24401      0.78417
        94      0.63823      0.63639      0.35638	  1.25160      1.24904      0.79617
        95      0.63838      0.63658      0.36075	  1.25630      1.25380      0.80785
        96      0.63856      0.63680      0.36493	  1.26077      1.25832      0.81899
        97      0.63872      0.63699      0.36899	  1.26504      1.26263      0.82978
        98      0.63885      0.63716      0.37292	  1.26913      1.26677      0.84020
        99      0.63894      0.63729      0.37673	  1.27302      1.27070      0.85027
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00019      0.00000      0.00000	  0.00013      0.00000      0.00000
        14      0.00333      0.00000      0.00000	  0.00203      0.00000      0.00000
        15      0.01113      0.00010      0.00000	  0.00632      0.00006      0.00000
        16      0.02365      0.00719      0.00000	  0.01262      0.00361      0.00000
        17      0.04081      0.02065      0.00000	  0.02053      0.00977      0.00000
        18      0.06222      0.03912      0.00000	  0.02970      0.01757      0.00000
        19      0.08734      0.06188      0.00000	  0.03987      0.02661      0.00000
        20      0.11576      0.08823      0.00000	  0.05091      0.03662      0.00000
        21      0.14694      0.11766      0.00000	  0.06269      0.04747      0.00000
        22      0.18043      0.14960      0.00000	  0.07517      0.05908      0.00000
        23      0.21597      0.18370      0.00000	  0.08836      0.07141      0.00000
        24      0.25314      0.21963      0.00000	  0.10224      0.08450      0.00000
        25      0.29174      0.25704      0.00000	  0.11684      0.09831      0.00000
        26      0.33154      0.29578      0.00000	  0.13217      0.11288      0.00000
        27      0.37231      0.33553      0.00000	  0.14821      0.12819      0.00000
        28      0.41391      0.37618      0.00000	  0.16497      0.14424      0.00000
        29      0.45626      0.41766      0.00000	  0.18247      0.16106      0.00000
        30      0.49920      0.45981      0.00000	  0.20069      0.17863      0.00000
        31      0.54261      0.50245      0.00000	  0.21959      0.19689      0.00000
        32      0.58641      0.54555      0.00000	  0.23916      0.21586      0.00000
        33      0.63071      0.58919      0.00000	  0.25949      0.23560      0.00000
        34      0.67528      0.63309      0.00000	  0.28048      0.25599      0.00000
        35      0.72012      0.67725      0.00000	  0.30211      0.27705      0.00000
        36      0.76513      0.72174      0.00000	  0.32437      0.29879      0.00000
        37      0.81038      0.76640      0.00000	  0.34726      0.32115      0.00000
        38      0.85577      0.81122      0.00000	  0.37077      0.34413      0.00000
        39      0.90136      0.85633      0.00000	  0.39490      0.36777      0.00000
        40      0.94703      0.90139      0.00000	  0.41958      0.39193      0.00000
        41      0.99275      0.94674      0.00000	  0.44479      0.41671      0.00000
        42      1.03864      0.99208      0.00000	  0.47058      0.44201      0.00000
        43      1.08458      1.03765      0.00000	  0.49689      0.46790      0.00000
        44      1.13057      1.08306      0.00000	  0.52370      0.49423      0.00000
        45      1.17670      1.12892      0.00000	  0.55106      0.52122      0.00000
        46      1.22282      1.17454      0.00000	  0.57884      0.54857      0.00000
        47      1.26898      1.22043      0.00000	  0.60710      0.57647      0.00000
        48      1.31512      1.26614      0.00000	  0.63576      0.60473      0.00000
        49      1.36130      1.31196      0.00000	  0.66484      0.63343      0.00000
        50      1.40759      1.35794      0.00000	  0.69443      0.66266      0.00000
        51      1.45385      1.40379      0.00000	  0.72436      0.69222      0.00000
        52      1.50016      1.44983      0.00000	  0.75471      0.72225      0.00000
        53      1.54649      1.49585      0.00000	  0.78545      0.75264      0.00000
        54      1.59282      1.54177      0.00000	  0.81651      0.78335      0.00000
        55      1.63912      1.58781      0.00000	  0.84793      0.81446      0.00000
        56      1.68544      1.63389      0.00000	  0.87967      0.84591      0.00000
        57      1.73178      1.67983      0.00000	  0.91176      0.87764      0.00000
        58      1.77810      1.72579      0.00000	  0.94415      0.90969      0.00000
        59      1.82441      1.77199      0.00000	  0.97681      0.94214      0.00000
        60      1.87074      1.81804      0.00000	  1.00982      0.97484      0.00000
        61      1.91704      1.86401      0.00000	  1.04306      1.00777      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      1.91704      1.86401      0.00000	  1.04306      1.00777      0.00000
        63      2.14862      2.09427      0.00000	  1.21331      1.17664      0.00000
        64      2.38007      2.32454      0.00740	  1.38936      1.35145      0.00119
        65      2.61129      2.55480      0.02980	  1.57024      1.53126      0.00813
        66      2.84230      2.78501      0.06179	  1.75535      1.71540      0.02247
        67      3.07308      3.01507      0.10180	  1.94404      1.90324      0.04467
        68      3.30363      3.24461      0.14894	  2.13580      2.09407      0.07471
        69      3.53404      3.47461      0.20258	  2.33035      2.28796      0.11240
        70      3.76417      3.70379      0.26218	  2.52717      2.48395      0.15737
        71      3.99400      3.93343      0.32730	  2.72591      2.68220      0.20921
        72      4.22366      4.16222      0.39753	  2.92645      2.88199      0.26753
        73      4.45320      4.39153      0.47256	  3.12871      3.08380      0.33197
        74      4.68251      4.62031      0.55217	  3.33232      3.28684      0.40214
        75      4.91155      4.84857      0.63596	  3.53703      3.49092      0.47761
        76      5.14052      5.07751      0.72369	  3.74301      3.69658      0.55812
        77      5.36925      5.30583      0.81525	  3.94987      3.90298      0.64330
        78      5.59793      5.53390      0.91038	  4.15777      4.11036      0.73292
        79      5.82636      5.76160      1.00876	  4.36636      4.31839      0.82663
        80      6.05470      5.99013      1.11044	  4.57567      4.52751      0.92421
        81      6.28280      6.21794      1.21505	  4.78560      4.73709      1.02547
        82      6.51090      6.44554      1.32263	  4.99625      4.94730      1.13016
        83      6.73879      6.67285      1.43283	  5.20731      5.15791      1.23807
        84      6.96656      6.90000      1.54567	  5.41900      5.36914      1.34910
        85      7.19410      7.12799      1.66097	  5.63086      5.58097      1.46288
        86      7.42178      7.35545      1.77872	  5.84346      5.79326      1.57952
        87      7.64911      7.58255      1.89852	  6.05624      6.00577      1.69870
        88      7.87649      7.80950      2.02071	  6.26947      6.21863      1.82033
        89      8.10376      8.03624      2.14493	  6.48306      6.43183      1.94438
        90      8.33067      8.26260      2.27115	  6.69654      6.64491      2.07046
        91      8.55777      8.48919      2.39914	  6.91082      6.85882      2.19888
        92      8.78464      8.71664      2.52907	  7.12496      7.07303      2.32908
        93      9.01145      8.94350      2.66070	  7.33949      7.28742      2.46133
        94      9.23810      9.16991      2.79403	  7.55411      7.50178      2.59537
        95      9.46477      9.39632      2.92893	  7.76900      7.71641      2.73105
        96      9.69132      9.62255      3.06532	  7.98411      7.93122      2.86849
        97      9.91778      9.84874      3.20345	  8.19938      8.14626      3.00761
        98     10.14423     10.07474      3.34269	  8.41485      8.36142      3.14815
        99     10.37059     10.30062      3.48358	  8.63050      8.57671      3.29020
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100     10.37059     10.30062      3.48358	  8.63050      8.57671      3.29020
       101     10.82270     10.75185      3.76895	  9.06159      9.00720      3.57822
       102     11.27489     11.20461      4.05958	  9.49366      9.43925      3.87172
       103     11.72655     11.65639      4.35480	  9.92580      9.87118      4.16975
       104     12.17825     12.10773      4.65445	 10.35869     10.30369      4.47248
       105     12.62949     12.55848      4.95811	 10.79159     10.73614      4.77919
       106     13.08043     13.00873      5.26542	 11.22459     11.16862      5.08953
       107     13.53114     13.45886      5.57660	 11.65790     11.60150      5.40364
       108     13.98186     13.90879      5.89115	 12.09175     12.03480      5.72126
       109     14.43201     14.35815      6.20856	 12.52507     12.46765      6.04150
       110     14.88217     14.80743      6.52930	 12.95916     12.90116      6.36520
       111     15.33183     15.25862      6.85312	 13.39263     13.33512      6.69126
       112     15.78166     15.70861      7.17955	 13.82685     13.76919      7.02025
       113     16.23112     16.15806      7.50819	 14.26089     14.20302      7.35149
       114     16.68056     16.60735      7.83972	 14.69530     14.63719      7.68537
       115     17.12957     17.05609      8.17343	 15.12933     15.07095      8.02112
       116     17.57859     17.50470      8.50947	 15.56370     15.50495      8.35915
       117     18.02743     17.95324      8.84766	 15.99816     15.93915      8.69930
       118     18.47585     18.40132      9.18755	 16.43211     16.37281      9.04081
       119     18.92443     18.84942      9.52963	 16.86675     16.80710      9.38471
       120     19.37253     19.29692      9.87350	 17.30070     17.24065      9.72983
       121     19.82073     19.74457     10.21907	 17.73511     17.67468     10.07672
       122     20.26887     20.19224     10.56658	 18.16970     18.10895     10.42539
       123     20.71654     20.63928     10.91568	 18.60386     18.54273     10.77542
       124     21.16422     21.08634     11.26600	 19.03818     18.97663     11.12684
       125     21.61198     21.53347     11.61850	 19.47286     19.41093     11.47990
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     21.61198     21.53347     11.61850	 19.47286     19.41093     11.47990
       127     23.84743     23.77010     13.39948	 21.64362     21.58154     13.26229
       128     26.08001     26.00308     15.21091	 23.81404     23.75151     15.07193
       129     28.30919     28.23170     17.04708	 25.98266     25.91929     16.90312
       130     30.53610     30.45722     18.90497	 28.15081     28.08629     18.75378
       131     32.76037     32.68015     20.78173	 30.31737     30.25188     20.62028
       132     34.98189     34.89991     22.67364	 32.48231     32.41558     22.50032
       133     37.20148     37.11755     24.58062	 34.64619     34.57828     24.39274
       134     39.41874     39.33269     26.49952	 36.80878     36.73962     26.29582
       135     41.63358     41.54565     28.42885	 38.96959     38.89941     28.20797
       136     43.84685     43.75644     30.36963	 41.12965     41.05813     30.12952
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     43.84685     43.75644     30.36963	 41.12965     41.05813     30.12952
       138     87.74998     87.67220     70.27884	 84.06236     83.99060     69.49903
       139    131.10209    131.02153    110.97958	126.58016    126.50299    109.57388
       140    173.98665    173.90190    151.80725	168.74344    168.66138    149.80419
       141    216.46083    216.37401    192.57217	210.60153    210.51688    190.03220
       142    258.52251    258.43360    233.15706	252.14163    252.05448    230.14957
       143    300.22965    300.13669    273.56499	293.42910    293.33787    270.17608
       144    341.51328    341.41974    313.68334	334.37325    334.28117    309.98336
       145    382.50551    382.40951    353.61275	375.10767    375.01304    349.66906
       146    423.19745    423.10505    393.33183	415.63712    415.54559    389.23867
       147    463.53189    463.43507    432.76222	455.90264    455.80684    428.61068
       148    503.52036    503.42489    471.92332	495.89558    495.80085    467.78058
       149    543.18051    543.08134    510.81401	535.62376    535.52545    506.74018
       150    582.52812    582.42529    549.44258	575.09981    574.99797    545.49206
       151    621.57393    621.47917    587.79350	614.32835    614.23394    584.02513
       152    660.32985    660.23249    625.89533	653.32461    653.22767    622.36340
       153    698.84534    698.74539    663.78077	692.14211    692.04266    660.54214
       154    737.19479    737.09230    701.53185	730.87755    730.77561    698.66805
       155    775.28749    775.18248    739.06686	769.42609    769.32171    736.64416
       156    813.10806    813.01178    776.36617	807.77594    807.67972    774.46372
       157    850.66680    850.56875    813.43859	845.93588    845.83794    812.12452
       158    887.96357    887.86378    850.25706	883.89573    883.79608    849.59926
       159    925.00600    924.90450    886.84957	921.65845    921.55713    886.90056
       160    961.79975    961.69654    923.20558	959.22446    959.12148    924.02086
       161    998.35233    998.24744    959.38394	996.59927    996.49465    961.00136
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1    998.35233    998.24744    959.38394	   996.59927    996.49465    961.00136
         2   1177.67505   1177.58092   1136.97261	  1180.66862   1180.57407   1143.27454
         3   1351.69782   1351.59968   1309.55385	  1360.38489   1360.28639   1321.48952
         4   1520.88963   1520.78772   1477.58355	  1536.09428   1535.99206   1495.97001
         5   1685.63632   1685.53081   1641.41475	  1708.09563   1707.98988   1666.97985
         6   1846.26383   1846.15487   1801.29321	  1876.63231   1876.52316   1834.69611
         7   2003.05527   2002.94296   1957.39089	  2041.91188   2041.79943   1999.22719
         8   2156.25962   2156.16697   2110.11406	  2204.11661   2204.02312   2160.87605
         9   2306.09940   2306.00590   2259.41794	  2363.40994   2363.31559   2319.57545
        10   2452.77302   2452.67875   2405.64280	  2519.93612   2519.84099   2475.59254
        11   2596.45956   2596.36458   2548.90083	  2673.82864   2673.73280   2629.00046
        12   2737.32274   2737.22712   2689.45112	  2825.20976   2825.11327   2780.01510
        13   2875.50928   2875.41307   2827.40037	  2974.18954   2974.09246   2928.69123
        14   3011.15483   3011.05807   2962.83535	  3120.87157   3120.77394   3075.10550
        15   3144.38419   3144.28692   3095.80689	  3265.35182   3265.25368   3219.27745
        16   3275.31040   3275.21267   3226.41670	  3407.71737   3407.61877   3361.29315
        17   3404.04004   3403.94188   3354.94479	  3548.05242   3547.95338   3501.37795
        18   3530.66957   3530.57100   3481.41620	  3686.43263   3686.33317   3639.55989
        19   3655.28976   3655.19080   3605.81478	  3822.93053   3822.83069   3775.79539
        20   3777.98482   3777.88551   3728.48956	  3957.61372   3957.51351   3910.41642
        21   3898.83362   3898.73396   3849.07539	  4090.54630   4090.44576   4043.04718
        22   4017.90860   4017.80863   3968.13873	  4221.78720   4221.68633   4174.23999
        23   4135.27892   4135.17864   4085.41764	  4351.39349   4351.29232   4303.70241
        24   4251.00802   4250.90747   4200.73205	  4479.41782   4479.31637   4431.31731
        25   4365.15648   4365.05566   4315.15605	  4605.91068   4605.80896   4558.02217
        26   4477.78053   4477.67945   4427.32680	  4730.91938   4730.81740   4682.56421
        27   4588.93540   4588.83409   4538.68916	  4854.49101   4854.38880   4806.29494
        28   4698.66995   4698.56840   4648.07758	  4976.66706   4976.56461   4928.11688
        29   4807.03175   4806.92999   4756.56290	  5097.48822   5097.38556   5049.02070
        30   4914.06618   4913.96421   4863.41077	  5216.99382   5216.89095   5168.31136
        31   5019.81530   5019.71313   4969.22491	  5335.22030   5335.11723   5286.58337
        32   5124.31947   5124.21711   5073.65302	  5452.20287   5452.09961   5403.45365
        33   5227.61825   5227.51571   5176.73353	  5567.97657   5567.87313   5518.99402
        34   5329.74701   5329.64430   5279.01781	  5682.57243   5682.46882   5633.70225
        35   5430.74036   5430.63749   5379.82494	  5796.02120   5795.91742   5746.95582
        36   5530.63121   5530.52819   5479.60121	  5908.35223   5908.24830   5859.15797
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   5530.63121   5530.52819   5479.60121	  5908.35223   5908.24830   5859.15797
        38   5727.23166   5727.12834   5676.26641	  6129.77484   6129.67061   6080.59560
        39   5919.78135   5919.67776   5868.78079	  6347.05055   6346.94605   6297.78243
        40   6108.49543   6108.39159   6057.55117	  6560.37567   6560.27092   6511.12680
        41   6293.57055   6293.46648   6242.35201	  6769.93124   6769.82626   6720.38051
        42   6475.18559   6475.08131   6423.80147	  6975.88298   6975.77779   6926.12224
        43   6653.50662   6653.40214   6602.50420	  7178.38625   7178.28087   7128.97686
        44   6828.68766   6828.58300   6777.40416	  7377.58620   7377.48063   7327.85246
        45   7000.86966   7000.76483   6949.27943	  7573.61651   7573.51077   7523.58822
        46   7170.18422   7170.07923   7118.69100	  7766.60290   7766.49701   7716.62012
        47   7336.75370   7336.64857   7285.52171	  7956.66307   7956.55704   7906.92104
        48   7500.69493   7500.58967   7449.55087	  8143.91026   8143.80410   8094.21084
        49   7662.11224   7662.00686   7610.76722	  8328.44594   8328.33965   8278.52773
        50   7821.10522   7820.99972   7769.74979	  8510.36759   8510.26119   8460.41681
        51   7977.76709   7977.66149   7926.36274	  8689.76701   8689.66050   8639.73532
        52   8132.18532   8132.07962   8080.71380	  8866.73080   8866.62419   8816.63603
        53   8284.44222   8284.33642   8233.16772	  9041.34086   9041.23415   8991.39403
        54   8434.61658   8434.51069   8382.97329	  9213.67602   9213.56923   9163.35598
        55   8582.78035   8582.67439   8531.70406	  9383.80855   9383.70169   9334.01655
        56   8729.00246   8728.89642   8677.83819	  9551.80800   9551.70106   9501.91081
        57   8873.34795   8873.24184   8822.16679	  9717.74030   9717.63329   9667.82622
        58   9015.87850   9015.77233   8964.54123	  9881.66826   9881.56119   9831.56885
        59   9156.65239   9156.54617   9105.41098	 10043.65143  10043.54431   9993.64748
        60   9295.72510   9295.61881   9244.54612	 10203.74676  10203.63958  10153.76256
        61   9433.14909   9433.04276   9382.16403	 10362.00831  10361.90108  10312.19690
        62   9568.97438   9568.86800   9517.82963	 10518.48777  10518.38050  10468.51068
        63   9703.25055   9703.14413   9651.89436	 10673.23662  10673.12930  10623.05533
        64   9836.02121   9835.91475   9784.95333	 10826.30024  10826.19288  10776.39616
        65   9967.32944   9967.22295   9916.54273	 10977.72368  10977.61629  10928.05175
        66  10097.21638  10097.10985  10046.27233	 11127.55001  11127.44260  11077.70327
        67  10225.72133  10225.61477  10174.72347	 11275.82059  11275.71315  11225.90731
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  10225.72133  10225.61477  10174.72347	 11275.82059  11275.71315  11225.90731
        69  10478.73361  10478.62700  10428.01141	 11567.85110  11567.74361  11518.19447
        70  10726.64737  10726.54073  10675.85964	 11854.11289  11854.00536  11804.36764
        71  10969.72053  10969.61386  10918.45464	 12134.88074  12134.77319  12084.67213
        72  11208.19035  11208.08366  11157.31901	 12410.40868  12410.30111  12360.53633
        73  11442.27566  11442.16895  11391.65539	 12680.93224  12680.82465  12631.30423
        74  11672.18167  11672.07495  11621.75470	 12946.67311  12946.56553  12897.20068
        75  11898.09365  11897.98694  11848.10417	 13207.83268  13207.72509  13158.76311
        76  12120.18570  12120.07900  12069.40024	 13464.60078  13464.49321  13414.73953
        77  12338.61972  12338.51302  12287.86532	 13717.15473  13717.04717  13667.31173
        78  12553.54665  12553.43998  12503.16782	 13965.66043  13965.55289  13916.18491
        79  12765.10764  12765.00099  12715.37922	 14210.27365  14210.16613  14161.37695
        80  12973.43465  12973.32802  12923.25043	 14451.14044  14451.03295  14401.79483
        81  13178.65149  13178.54489  13128.70709	 14688.39836  14688.29091  14639.29296
        82  13380.87439  13380.76782  13331.08804	 14922.17688  14922.06946  14873.20392
        83  13580.21251  13580.10598  13530.25106	 15152.59801  15152.49063  15103.45604
        84  13776.76890  13776.66241  13726.62245	 15379.77724  15379.66990  15330.43305
        85  13970.64038  13970.53393  13920.88104	 15603.82339  15603.71609  15554.86108
        86  14161.91873  14161.81232  14112.52043	 15824.83984  15824.73259  15776.17966
        87  14350.69044  14350.58408  14300.86634	 16042.92432  16042.81712  15993.85705
        88  14537.03748  14536.93117  14487.39758	 16258.16960  16258.06245  16209.27286
        89  14721.04040  14720.93415  14671.40968	 16470.66683  16470.55974  16421.78111
        90  14902.77058  14902.66439  14853.88796	 16680.49741  16680.39038  16632.32413
        91  15082.29790  15082.19176  15033.88969	 16887.74102  16887.63404  16840.00188
        92  15259.68880  15259.58272  15210.36621	 17092.47350  17092.36659  17043.84872
        93  15435.00658  15434.90055  15386.00583	 17294.76729  17294.66043  17246.44495
