C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        22      0.20880      0.16672      0.00000	  0.09163      0.06608      0.00000
        23      0.24853      0.20434      0.00000	  0.10694      0.07990      0.00000
        24      0.29003      0.24397      0.00000	  0.12301      0.09458      0.00000
        25      0.33309      0.28523      0.00000	  0.13986      0.11006      0.00000
        26      0.37747      0.32799      0.00000	  0.15749      0.12640      0.00000
        27      0.42293      0.37188      0.00000	  0.17589      0.14353      0.00000
        28      0.46931      0.41680      0.00000	  0.19505      0.16147      0.00000
        29      0.51653      0.46267      0.00000	  0.21499      0.18026      0.00000
        30      0.56443      0.50930      0.00000	  0.23569      0.19984      0.00000
        31      0.61285      0.55649      0.00000	  0.25709      0.22015      0.00000
        32      0.66171      0.60421      0.00000	  0.27919      0.24120      0.00000
        33      0.71115      0.65256      0.00000	  0.30208      0.26308      0.00000
        34      0.76090      0.70125      0.00000	  0.32564      0.28565      0.00000
        35      0.81095      0.75025      0.00000	  0.34987      0.30893      0.00000
        36      0.86121      0.79961      0.00000	  0.37472      0.33289      0.00000
        37      0.91173      0.84919      0.00000	  0.40022      0.35749      0.00000
        38      0.96241      0.89895      0.00000	  0.42634      0.38273      0.00000
        39      1.01333      0.94904      0.00000	  0.45309      0.40865      0.00000
        40      1.06434      0.99910      0.00000	  0.48039      0.43508      0.00000
        41      1.11540      1.04947      0.00000	  0.50821      0.46213      0.00000
        42      1.16664      1.09985      0.00000	  0.53661      0.48973      0.00000
        43      1.21796      1.15049      0.00000	  0.56554      0.51793      0.00000
        44      1.26931      1.20099      0.00000	  0.59495      0.54657      0.00000
        45      1.32083      1.25195      0.00000	  0.62490      0.57587      0.00000
        46      1.37233      1.30270      0.00000	  0.65528      0.60556      0.00000
        47      1.42387      1.35372      0.00000	  0.68612      0.63578      0.00000
        48      1.47539      1.40456      0.00000	  0.71735      0.66634      0.00000
        49      1.52693      1.45549      0.00000	  0.74899      0.69735      0.00000
        50      1.57860      1.50662      0.00000	  0.78111      0.72889      0.00000
        51      1.63023      1.55761      0.00000	  0.81359      0.76075      0.00000
        52      1.68190      1.60880      0.00000	  0.84646      0.79308      0.00000
        53      1.73358      1.65995      0.00000	  0.87971      0.82576      0.00000
        54      1.78527      1.71102      0.00000	  0.91328      0.85875      0.00000
        55      1.83690      1.76219      0.00000	  0.94718      0.89212      0.00000
        56      1.88855      1.81339      0.00000	  0.98139      0.92583      0.00000
        57      1.94021      1.86445      0.00000	  1.01595      0.95982      0.00000
        58      1.99185      1.91553      0.00000	  1.05078      0.99412      0.00000
        59      2.04346      1.96686      0.00000	  1.08587      1.02879      0.00000
        60      2.09509      2.01801      0.00000	  1.12130      1.06371      0.00000
        61      2.14667      2.06906      0.00000	  1.15694      1.09886      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      2.14667      2.06906      0.00000	  1.15694      1.09886      0.00000
        63      2.40452      2.32472      0.00000	  1.33903      1.27865      0.00000
        64      2.66196      2.58018      0.00858	  1.52657      1.46412      0.00125
        65      2.91885      2.83544      0.03441	  1.71861      1.65437      0.00819
        66      3.17529      3.09052      0.07111	  1.91458      1.84878      0.02239
        67      3.43117      3.34522      0.11684	  2.11379      2.04665      0.04433
        68      3.68656      3.59919      0.17057	  2.31580      2.24729      0.07402
        69      3.94155      3.85342      0.23156	  2.52033      2.45078      0.11133
        70      4.19598      4.10657      0.29918	  2.72685      2.65612      0.15591
        71      4.44985      4.36000      0.37291	  2.93503      2.86353      0.20740
        72      4.70330      4.61232      0.45230	  3.14479      3.07226      0.26539
        73      4.95641      4.86501      0.53698	  3.35601      3.28282      0.32956
        74      5.20904      5.11692      0.62666	  3.56835      3.49439      0.39951
        75      5.46116      5.36811      0.72092	  3.78157      3.70681      0.47483
        76      5.71303      5.61981      0.81946	  3.99587      3.92063      0.55526
        77      5.96445      5.87071      0.92216	  4.21087      4.13503      0.64041
        78      6.21562      6.12118      1.02871	  4.42671      4.35024      0.73006
        79      6.46632      6.37105      1.13876	  4.64302      4.56590      0.82386
        80      6.71676      6.62161      1.25235	  4.85990      4.78249      0.92158
        81      6.96674      6.87125      1.36907	  5.07719      4.99935      1.02303
        82      7.21662      7.12054      1.48896	  5.29511      5.21674      1.12795
        83      7.46609      7.36939      1.61164	  5.51324      5.43438      1.23614
        84      7.71524      7.61789      1.73712	  5.73181      5.65245      1.34748
        85      7.96403      7.86712      1.86519	  5.95044      5.87103      1.46161
        86      8.21281      8.11565      1.99584	  6.16968      6.08990      1.57863
        87      8.46110      8.36371      2.12865	  6.38893      6.30888      1.69822
        88      8.70928      8.61146      2.26396	  6.60851      6.52808      1.82028
        89      8.95721      8.85883      2.40139	  6.82830      6.74745      1.94477
        90      9.20462      9.10568      2.54090	  7.04785      6.96658      2.07131
        91      9.45212      9.35271      2.68227	  7.26809      7.18647      2.20020
        92      9.69925      9.60043      2.82563	  7.48808      7.40652      2.33088
        93      9.94620      9.84742      2.97076	  7.70833      7.62661      2.46363
        94     10.19282     10.09381      3.11765	  7.92850      7.84654      2.59816
        95     10.43940     10.34017      3.26615	  8.14892      8.06672      2.73435
        96     10.68572     10.58617      3.41618	  8.36940      8.28691      2.87229
        97     10.93184     10.83208      3.56801	  8.58996      8.50728      3.01191
        98     11.17782     11.07761      3.72096	  8.81059      8.72760      3.15295
        99     11.42365     11.32299      3.87562	  9.03134      8.94803      3.29550
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100     11.42365     11.32299      3.87562	  9.03134      8.94803      3.29550
       101     11.91423     11.81273      4.18856	  9.47219      9.38832      3.58449
       102     12.40461     12.30375      4.50687	  9.91380      9.82994      3.87894
       103     12.89403     12.79339      4.82983	 10.35505     10.27107      4.17788
       104     13.38310     13.28218      5.15728	 10.79672     10.71241      4.48151
       105     13.87136     13.77002      5.48877	 11.23807     11.15338      4.78904
       106     14.35895     14.25701      5.82390	 11.67919     11.59407      5.10017
       107     14.84589     14.74349      6.16294	 12.12024     12.03480      5.41502
       108     15.33277     15.22960      6.50532	 12.56176     12.47580      5.73330
       109     15.81856     15.71473      6.85056	 13.00228     12.91599      6.05417
       110     16.30420     16.19956      7.19912	 13.44342     13.35662      6.37841
       111     16.78891     16.68593      7.55072	 13.88359     13.79737      6.70498
       112     17.27356     17.17086      7.90493	 14.32427     14.23800      7.03442
       113     17.75767     17.65504      8.26128	 14.76463     14.67823      7.36603
       114     18.24148     18.13884      8.62050	 15.20510     15.11858      7.70023
       115     18.72457     18.62179      8.98187	 15.64494     15.55827      8.03622
       116     19.20744     19.10431      9.34553	 16.08491     15.99793      8.37445
       117     19.68987     19.58658      9.71130	 16.52474     16.43763      8.71473
       118     20.17164     20.06808     10.07870	 16.96385     16.87653      9.05631
       119     20.65335     20.54943     10.44826	 17.40346     17.31589      9.40022
       120     21.13428     21.02982     10.81955	 17.84209     17.75419      9.74530
       121     21.61529     21.51042     11.19249	 18.28120     18.19306     10.09208
       122     22.09606     21.99082     11.56735	 18.72033     18.63198     10.44058
       123     22.57607     22.47035     11.94372	 19.15875     19.07016     10.79039
       124     23.05575     22.94947     12.32126	 19.59703     19.50810     11.14154
       125     23.53556     23.42883     12.70096	 20.03574     19.94660     11.49427
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     23.53556     23.42883     12.70096	 20.03574     19.94660     11.49427
       127     25.92802     25.82291     14.61700	 22.22378     22.13490     13.27420
       128     28.31378     28.20963     16.56220	 24.40823     24.31940     15.08014
       129     30.69241     30.58828     18.53081	 26.58770     26.49859     16.90647
       130     33.06535     32.96033     20.51987	 28.76379     28.67403     18.75122
       131     35.43243     35.32657     22.52653	 30.93561     30.84539     20.61083
       132     37.79441     37.68722     24.54716	 33.10393     33.01290     22.48305
       133     40.15197     40.04324     26.58164	 35.26915     35.17737     24.36675
       134     42.50474     42.39422     28.62704	 37.43106     37.33838     26.26039
       135     44.85303     44.74113     30.68174	 39.58953     39.49637     28.16230
       136     47.19775     47.08383     32.74691	 41.74564     41.65165     30.07291
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     47.19775     47.08383     32.74691	 41.74564     41.65165     30.07291
       138     93.43511     93.34070     74.97489	 84.37335     84.28563     69.11565
       139    138.78249    138.69121    117.76236	126.34947    126.26205    108.73115
       140    183.44915    183.35800    160.51255	167.83769    167.74963    148.41781
       141    227.56859    227.47795    203.07900	208.94969    208.86163    188.04766
       142    271.17881    271.08789    245.36495	249.70121    249.61247    227.52149
       143    314.33469    314.24134    287.38178	290.15920    290.06802    266.87199
       144    356.99513    356.90216    329.02464	330.24184    330.15076    305.95945
       145    399.33067    399.23621    370.43190	370.12793    370.03528    344.92570
       146    441.28510    441.19435    411.55862	409.78139    409.69195    383.75895
       147    482.83332    482.73916    452.33858	449.15446    449.06178    422.36954
       148    523.98931    523.89669    492.79269	488.24163    488.15021    460.75485
       149    564.77302    564.67751    532.92326	527.05408    526.95989    498.91080
       150    605.20338    605.10498    572.74376	565.60802    565.51106    536.84568
       151    645.29367    645.20245    612.24255	603.91055    603.82013    574.55209
       152    685.05852    684.96524    651.45005	641.97809    641.88570    612.05444
       153    724.58438    724.48902    690.43182	679.90092    679.80650    649.42038
       154    763.90602    763.80860    729.25405	717.73956    717.64316    686.74582
       155    802.92122    802.82177    767.80906	755.37949    755.28112    723.90760
       156    841.63610    841.54422    806.10127	792.81575    792.72439    760.90763
       157    880.06403    879.97074    844.13494	830.05865    829.96592    797.74067
       158    918.20551    918.11081    881.88449	867.09845    867.00434    834.37919
       159    956.06804    955.97193    919.37850	903.93789    903.84242    870.83629
       160    993.65777    993.56027    956.60742	940.57803    940.48120    907.10530
       161   1030.98330   1030.88441    993.62863	977.02546    976.92728    943.22609
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1   1030.98330   1030.88441    993.62863	   977.02546    976.92728    943.22609
         2   1213.84990   1213.76032   1175.05432	  1156.45930   1156.36976   1121.14716
         3   1390.94786   1390.85497   1350.93420	  1331.57367   1331.48086   1294.97456
