C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        31      0.39722      0.37341      0.00000	  0.10442      0.09572      0.00000
        32      0.43286      0.40854      0.00000	  0.11612      0.10707      0.00000
        33      0.46922      0.44440      0.00000	  0.12855      0.11914      0.00000
        34      0.50608      0.48077      0.00000	  0.14163      0.13186      0.00000
        35      0.54344      0.51762      0.00000	  0.15536      0.14525      0.00000
        36      0.58120      0.55498      0.00000	  0.16972      0.15927      0.00000
        37      0.61938      0.59272      0.00000	  0.18471      0.17393      0.00000
        38      0.65790      0.63080      0.00000	  0.20032      0.18920      0.00000
        39      0.69678      0.66931      0.00000	  0.21654      0.20510      0.00000
        40      0.73593      0.70800      0.00000	  0.23333      0.22156      0.00000
        41      0.77529      0.74708      0.00000	  0.25067      0.23860      0.00000
        42      0.81494      0.78631      0.00000	  0.26857      0.25618      0.00000
        43      0.85481      0.82588      0.00000	  0.28702      0.27433      0.00000
        44      0.89484      0.86546      0.00000	  0.30596      0.29296      0.00000
        45      0.93514      0.90553      0.00000	  0.32546      0.31217      0.00000
        46      0.97554      0.94554      0.00000	  0.34540      0.33182      0.00000
        47      1.01609      0.98586      0.00000	  0.36583      0.35198      0.00000
        48      1.05674      1.02616      0.00000	  0.38668      0.37255      0.00000
        49      1.09752      1.06665      0.00000	  0.40798      0.39357      0.00000
        50      1.13851      1.10737      0.00000	  0.42977      0.41509      0.00000
        51      1.17954      1.14806      0.00000	  0.45193      0.43699      0.00000
        52      1.22070      1.18899      0.00000	  0.47453      0.45933      0.00000
        53      1.26195      1.22998      0.00000	  0.49752      0.48207      0.00000
        54      1.30329      1.27099      0.00000	  0.52088      0.50517      0.00000
        55      1.34468      1.31215      0.00000	  0.54461      0.52865      0.00000
        56      1.38615      1.35341      0.00000	  0.56869      0.55249      0.00000
        57      1.42769      1.39463      0.00000	  0.59313      0.57667      0.00000
        58      1.46930      1.43594      0.00000	  0.61789      0.60120      0.00000
        59      1.51094      1.47747      0.00000	  0.64296      0.62606      0.00000
        60      1.55266      1.51895      0.00000	  0.66839      0.65125      0.00000
        61      1.59442      1.56042      0.00000	  0.69409      0.67672      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      1.59442      1.56042      0.00000	  0.69409      0.67672      0.00000
        63      1.80398      1.76884      0.00000	  0.82697      0.80851      0.00000
        64      2.01450      1.97833      0.01108	  0.96633      0.94686      0.00412
        65      2.22573      2.18867      0.04236	  1.11123      1.09082      0.01727
        66      2.43758      2.39974      0.08416	  1.26103      1.23976      0.03722
        67      2.64996      2.61138      0.13383	  1.41515      1.39307      0.06354
        68      2.86274      2.82320      0.19007	  1.57299      1.55009      0.09601
        69      3.07599      3.03595      0.25210	  1.73426      1.71067      0.13442
        70      3.28953      3.24858      0.31930	  1.89847      1.87413      0.17851
        71      3.50332      3.46204      0.39126	  2.06524      2.04031      0.22802
        72      3.71740      3.67525      0.46759	  2.23438      2.20876      0.28267
        73      3.93182      3.88931      0.54803	  2.40579      2.37963      0.34226
        74      4.14643      4.10334      0.63240	  2.57911      2.55236      0.40651
        75      4.36121      4.31732      0.72036	  2.75408      2.72672      0.47511
        76      4.57627      4.53220      0.81173	  2.93077      2.90296      0.54792
        77      4.79146      4.74690      0.90641	  3.10883      3.08051      0.62464
        78      5.00691      4.96171      1.00422	  3.28835      3.25951      0.70512
        79      5.22249      5.17653      1.10486	  3.46903      3.43966      0.78911
        80      5.43824      5.39230      1.20841	  3.65082      3.62108      0.87642
        81      5.65411      5.60779      1.31455	  3.83367      3.80351      0.96694
        82      5.87017      5.82331      1.42335	  4.01754      3.98692      1.06046
        83      6.08635      6.03887      1.53448	  4.20224      4.17115      1.15682
        84      6.30268      6.25455      1.64801	  4.38791      4.35636      1.25597
        85      6.51902      6.47113      1.76374	  4.57410      4.54233      1.35756
        86      6.73567      6.68748      1.88167	  4.76128      4.72913      1.46171
        87      6.95230      6.90379      2.00150	  4.94903      4.91653      1.56819
        88      7.16910      7.12011      2.12351	  5.13744      5.10454      1.67688
        89      7.38606      7.33650      2.24740	  5.32654      5.29324      1.78779
        90      7.60289      7.55276      2.37311	  5.51587      5.48217      1.90056
        91      7.82007      7.76940      2.50050	  5.70617      5.67208      2.01551
        92      8.03718      7.98689      2.62966	  5.89661      5.86238      2.13209
        93      8.25447      8.20411      2.76045	  6.08772      6.05324      2.25061
        94      8.47180      8.42113      2.89281	  6.27917      6.24439      2.37080
        95      8.68920      8.63821      3.02663	  6.47103      6.43593      2.49252
        96      8.90672      8.85537      3.16188	  6.66339      6.62796      2.61594
        97      9.12431      9.07261      3.29877	  6.85613      6.82041      2.74092
        98      9.34203      9.28984      3.43674	  7.04925      7.01320      2.86729
        99      9.55977      9.50710      3.57628	  7.24273      7.20632      2.99510
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100      9.55977      9.50710      3.57628	  7.24273      7.20632      2.99510
       101      9.99527      9.94163      3.85876	  7.63024      7.59319      3.25449
       102     10.43126     10.37794      4.14631	  8.01934      7.98200      3.51916
       103     10.86727     10.81389      4.43831	  8.40924      8.37152      3.78828
       104     11.30376     11.24992      4.73461	  8.80049      8.76229      4.06200
       105     11.74032     11.68589      5.03485	  9.19245      9.15373      4.33969
       106     12.17698     12.12181      5.33867	  9.58507      9.54580      4.62099
       107     12.61388     12.55805      5.64630	  9.97863      9.93886      4.90607
       108     13.05105     12.99439      5.95724	 10.37307     10.33275      5.19463
       109     13.48817     13.43066      6.27110	 10.76770     10.72685      5.48596
       110     13.92559     13.86718      6.58827	 11.16346     11.12205      5.78074
       111     14.36289     14.30568      6.90844	 11.55918     11.51787      6.07793
       112     14.80065     14.74346      7.23128	 11.95598     11.91440      6.37814
       113     15.23837     15.18107      7.55639	 12.35308     12.31119      6.68075
       114     15.67630     15.61875      7.88434	 12.75084     12.70862      6.98596
       115     16.11416     16.05625      8.21459	 13.14875     13.10617      7.29325
       116     16.55226     16.49390      8.54717	 13.54729     13.50431      7.60288
       117     16.99048     16.93175      8.88193	 13.94631     13.90299      7.91470
       118     17.42855     17.36938      9.21847	 14.34520     14.30153      8.22806
       119     17.86700     17.80732      9.55721	 14.74509     14.70103      8.54386
       120     18.30531     18.24500      9.89783	 15.14473     15.10025      8.86105
       121     18.74376     18.68285     10.24018	 15.54493     15.50004      9.18010
       122     19.18235     19.12093     10.58452	 15.94559     15.90034      9.50101
       123     19.62088     19.55878     10.93053	 16.34633     16.30067      9.82345
       124     20.05958     19.99685     11.27779	 16.74744     16.70138     10.14736
       125     20.49839     20.43499     11.62730	 17.14901     17.10254     10.47301
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     20.49839     20.43499     11.62730	 17.14901     17.10254     10.47301
       127     22.69245     22.62972     13.39420	 19.15874     19.11157     12.12021
       128     24.88768     24.82497     15.19303	 21.17375     21.12572     13.79748
       129     27.08308     27.01956     17.01810	 23.19196     23.14285     15.49908
       130     29.27930     29.21427     18.86621	 25.21405     25.16368     17.22264
       131     31.47555     31.40897     20.73444	 27.23841     27.18689     18.96443
       132     33.67152     33.60313     22.61912	 29.26470     29.21190     20.72212
       133     35.86754     35.79711     24.51995	 31.29287     31.23883     22.49424
       134     38.06338     37.99080     26.43379	 33.32285     33.26754     24.27906
       135     40.25862     40.18401     28.35901	 35.35373     35.29729     26.07482
       136     42.45380     42.37670     30.29643	 37.38616     37.32843     27.88153
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     42.45380     42.37670     30.29643	 37.38616     37.32843     27.88153
       138     86.20022     86.13290     70.26162	 78.09590     78.03466     65.21014
       139    129.57755    129.50747    111.13159	118.73019    118.66336    103.52633
       140    172.56350    172.48928    152.17463	159.19497    159.12317    142.15769
       141    215.16601    215.08916    193.16547	199.46475    199.38978    180.88371
       142    257.37811    257.29884    233.98522	239.50667    239.42885    219.57833
       143    299.24597    299.16274    274.62195	279.37253    279.29073    258.24318
       144    340.72068    340.63623    314.98930	318.97574    318.89243    296.76048
       145    381.85913    381.77208    355.12228	358.37224    358.28624    335.16042
       146    422.69612    422.61124    395.02936	397.61650    397.53214    373.48149
       147    463.19123    463.10235    434.65745	436.64939    436.56119    411.65298
       148    503.34782    503.25945    474.01782	475.45248    475.36451    449.65971
       149    543.17689    543.08513    513.10389	514.02857    513.93734    487.48953
       150    582.69008    582.59497    551.92305	552.38563    552.29118    525.14343
       151    621.89519    621.80611    590.45799	590.52423    590.43514    562.60759
       152    660.80315    660.71164    628.73354	628.45634    628.36490    599.89979
       153    699.43062    699.33672    666.75845	666.19827    666.10450    637.02726
       154    737.83690    737.74063    704.58611	703.83060    703.73454    674.06859
       155    775.99370    775.89509    742.18571	741.31682    741.21851    710.98346
       156    813.88333    813.79149    779.55392	778.63329    778.54115    747.76244
       157    851.51219    851.41867    816.69847	815.78062    815.68684    784.40811
       158    888.88036    888.78520    853.58761	852.74825    852.65287    820.88765
       159    925.99358    925.89678    890.24872	889.53770    889.44073    857.21140
       160    962.85644    962.75804    926.67123	926.14908    926.05054    893.37255
       161    999.47525    999.37525    962.90686	962.58666    962.48658    929.40476
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1    999.47525    999.37525    962.90686	   962.58666    962.48658    929.40476
         2   1179.06198   1178.96997   1140.71311	  1142.20472   1142.11192   1107.17139
         3   1353.21431   1353.11835   1313.37647	  1317.78816   1317.69145   1281.19788
         4   1522.40059   1522.30093   1481.35079	  1489.61224   1489.51191   1451.73554
         5   1687.02077   1686.91761   1644.99649	  1657.93158   1657.82781   1618.99745
         6   1847.41650   1847.31000   1804.57957	  1822.96138   1822.85433   1783.13721
         7   2003.88491   2003.77518   1960.30001	  1984.88876   1984.77854   1944.25715
         8   2156.68797   2156.59469   2112.56042	  2143.88117   2143.78667   2102.62763
         9   2306.05853   2305.96431   2261.35373	  2300.08936   2299.99391   2258.19692
        10   2452.20383   2452.10876   2407.00628	  2453.64650   2453.55020   2411.19773
        11   2595.31129   2595.21545   2549.65093	  2604.67787   2604.58079   2561.70741
        12   2735.55032   2735.45376   2689.53297	  2753.29673   2753.19893   2709.91320
        13   2873.07422   2872.97702   2826.77943	  2899.60697   2899.50852   2855.87715
        14   3008.02342   3007.92561   2961.47715	  3043.70582   3043.60677   2999.66523
        15   3140.52654   3140.42818   3093.69443	  3185.68319   3185.58358   3141.30448
        16   3270.70099   3270.60211   3223.52776	  3325.62157   3325.52144   3280.86694
        17   3398.65606   3398.55670   3351.25399	  3463.60022   3463.49961   3418.56651
        18   3524.49171   3524.39191   3476.90206	  3599.69116   3599.59010   3554.42842
        19   3648.30108   3648.20085   3600.47046	  3733.96304   3733.86156   3688.41735
        20   3770.17061   3770.06999   3722.27880	  3866.47988   3866.37800   3820.82993
        21   3890.18084   3890.07985   3842.01916	  3997.30239   3997.20014   3951.34269
        22   4008.40648   4008.30514   3960.19706	  4126.48698   4126.38438   4080.44212
        23   4124.91785   4124.81618   4076.59832	  4254.08764   4253.98471   4207.87903
        24   4239.78036   4239.67838   4191.04831	  4380.15520   4380.05196   4333.53922
        25   4353.05555   4352.95327   4304.54682	  4504.73747   4504.63393   4458.27992
        26   4464.80112   4464.69856   4415.85610	  4627.87998   4627.77617   4580.97243
        27   4575.07215   4574.96934   4526.28741	  4749.62668   4749.52259   4702.83000
        28   4683.91949   4683.81642   4634.79751	  4870.01832   4869.91399   4822.87620
        29   4791.39135   4791.28805   4742.35760	  4989.09367   4988.98910   4941.99810
        30   4897.53364   4897.43011   4848.31070	  5106.89025   5106.78545   5059.57656
        31   5002.38943   5002.28567   4953.19885	  5223.44332   5223.33831   5176.14210
        32   5105.99963   5105.89567   5056.72393	  5338.78665   5338.68143   5291.36342
        33   5208.40364   5208.29948   5158.90968	  5452.95327   5452.84785   5405.29644
        34   5309.63796   5309.53362   5260.26981	  5565.97357   5565.86796   5518.39865
        35   5409.73764   5409.63312   5360.18227	  5677.87712   5677.77133   5630.10585
        36   5508.73599   5508.63129   5459.05605	  5788.69219   5788.58623   5740.78183
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   5508.73599   5508.63129   5459.05605	  5788.69219   5788.58623   5740.78183
        38   5703.55518   5703.45016   5653.90179	  6007.16535   6007.05906   5959.23101
        39   5894.33194   5894.22662   5844.62206	  6221.59654   6221.48996   6173.55132
        40   6081.28269   6081.17710   6031.59347	  6432.17438   6432.06753   6384.11226
        41   6264.60553   6264.49970   6214.64296	  6639.07347   6638.96637   6590.71010
        42   6444.48125   6444.37518   6394.34803	  6842.45448   6842.34714   6793.87546
        43   6621.07684   6620.97056   6571.26544	  7042.46746   7042.35991   6994.17956
        44   6794.54672   6794.44023   6744.46504	  7239.25242   7239.14468   7190.65049
        45   6965.03302   6964.92635   6914.64360	  7432.93930   7432.83137   7384.04216
        46   7132.66784   7132.56100   7082.35491	  7623.64983   7623.54174   7574.77707
        47   7297.57390   7297.46690   7247.47697	  7811.49811   7811.38986   7762.82075
        48   7459.86692   7459.75977   7409.83953	  7996.59264   7996.48425   7947.93902
        49   7619.65256   7619.54527   7569.42807	  8179.03294   8178.92441   8130.16434
