                                                                                
      ELECTRON NEUTRINO      ITHETA =  1                                        
     .48078E+03     .43698E+03     .38304E+03     .36160E+03     .34150E+03     
     .29237E+03     .27698E+03     .25016E+03     .25415E+03     .21643E+03     
     .18513E+03     .16336E+03     .17024E+03     .16035E+03     .14653E+03     
     .45733E+03     .38399E+03     .31138E+03     .22707E+03     .19274E+03     
     .15864E+03     .12516E+03     .10273E+03     .69299E+02     .66382E+02     
     .59195E+02     .54000E+02     .53000E+02     .40149E+02     .26000E+02     
     .30800E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA =  6                                        
     .51889E+03     .16823E+04     .26033E+04     .32264E+04     .37228E+04     
     .39353E+04     .42050E+04     .43264E+04     .42747E+04     .40968E+04     
     .39204E+04     .36606E+04     .36120E+04     .35072E+04     .34200E+04     
     .33009E+04     .31989E+04     .31571E+04     .30548E+04     .30630E+04     
     .29578E+04     .28471E+04     .27797E+04     .27540E+04     .25595E+04     
     .25682E+04     .23488E+04     .23568E+04     .23394E+04     .22644E+04     
     .21966E+04     .20825E+04     .20838E+04     .20280E+04     .19621E+04     
     .18589E+04     .18746E+04     .17800E+04     .17258E+04     .16154E+04     
     .16162E+04     .15854E+04     .16000E+04     .15245E+04     .14485E+04     
     .13826E+04     .14505E+04     .13505E+04     .13132E+04     .12609E+04     
     .25811E+04     .22434E+04     .22277E+04     .20856E+04     .20185E+04     
     .18942E+04     .17774E+04     .17749E+04     .16616E+04     .16402E+04     
     .15554E+04     .14864E+04     .14345E+04     .14013E+04     .13270E+04     
     .12665E+04     .12965E+04     .11435E+04     .11522E+04     .11371E+04     
     .10590E+04     .10187E+04     .96939E+03     .92378E+03     .88756E+03     
     .16878E+04     .15743E+04     .14681E+04     .13753E+04     .12544E+04     
     .12538E+04     .11208E+04     .10348E+04     .95409E+03     .90458E+03     
     .92916E+03     .81230E+03     .75386E+03     .70652E+03     .73147E+03     
     .65626E+03     .66856E+03     .60842E+03     .56128E+03     .55903E+03     
     .49689E+03     .48701E+03     .42535E+03     .44681E+03     .38578E+03     
     .10044E+04     .87473E+03     .83336E+03     .75718E+03     .70299E+03     
     .57571E+03     .57898E+03     .48563E+03     .47835E+03     .39788E+03     
     .35645E+03     .31976E+03     .32303E+03     .27679E+03     .28743E+03     
     .22767E+03     .24687E+03     .20397E+03     .21366E+03     .21337E+03     
     .70372E+03     .48617E+03     .39070E+03     .34408E+03     .25446E+03     
     .18987E+03     .15949E+03     .14418E+03     .14120E+03     .99659E+02     
     .79000E+02     .67176E+02     .64000E+02     .68000E+02     .48000E+02     
     .41719E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA =  7                                        
     .56352E+03     .18349E+04     .27451E+04     .32217E+04     .36308E+04     
     .37267E+04     .38342E+04     .39534E+04     .39315E+04     .35258E+04     
     .32515E+04     .31735E+04     .31003E+04     .29860E+04     .29846E+04     
     .27811E+04     .27606E+04     .27147E+04     .27034E+04     .26343E+04     
     .26010E+04     .24853E+04     .24218E+04     .23813E+04     .22973E+04     
     .22265E+04     .21867E+04     .21140E+04     .20939E+04     .19779E+04     
     .20211E+04     .19688E+04     .19043E+04     .18421E+04     .18227E+04     
     .17576E+04     .16615E+04     .16656E+04     .16256E+04     .15865E+04     
     .15720E+04     .14523E+04     .14628E+04     .14343E+04     .14965E+04     
     .13533E+04     .13605E+04     .13366E+04     .12913E+04     .12627E+04     
     .23555E+04     .23233E+04     .21874E+04     .20537E+04     .19835E+04     
     .19300E+04     .18099E+04     .17692E+04     .16478E+04     .16117E+04     
     .15177E+04     .14650E+04     .13891E+04     .13614E+04     .13628E+04     
     .13120E+04     .12501E+04     .11939E+04     .11168E+04     .11473E+04     
